,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
123,1,Brasil,30,Número-índice,103.08,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
124,1,Brasil,30,Número-índice,100.24,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
125,1,Brasil,30,Número-índice,118.91,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
126,1,Brasil,30,Número-índice,102.61,1,Brasil,199902,2º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
127,1,Brasil,30,Número-índice,114.52,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
128,1,Brasil,30,Número-índice,100.14,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
129,1,Brasil,30,Número-índice,108.17,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
130,1,Brasil,30,Número-índice,106.37,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
131,1,Brasil,30,Número-índice,105.99,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
132,1,Brasil,30,Número-índice,105.22,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
133,1,Brasil,30,Número-índice,97.89,1,Brasil,199903,3º trimestre 1999,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
