data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,4201063.Tênis,0.18
2020-01-01,IPCA % acum. ano,4201098.Sandália/chinelo,-0.41
2020-01-01,IPCA % acum. ano,43.Joias e bijuterias,0.69
2020-01-01,IPCA % acum. ano,4301.Joias e bijuterias,0.69
2020-01-01,IPCA % acum. ano,4301001.Bijuteria,0.38
2020-01-01,IPCA % acum. ano,4301002.Joia,1.4
2020-01-01,IPCA % acum. ano,4301004.Relógio de pulso,-1.06
2020-01-01,IPCA % acum. ano,44.Tecidos e armarinho,-0.18
2020-01-01,IPCA % acum. ano,4401.Tecidos e armarinho,-0.18
2020-01-01,IPCA % acum. ano,4401001.Tecido,-0.35
2020-01-01,IPCA % acum. ano,4401002.Artigos de armarinho,0.6
2020-01-01,IPCA % acum. ano,5.Transportes,0.32
2020-01-01,IPCA % acum. ano,51.Transportes,0.32
2020-01-01,IPCA % acum. ano,5101.Transporte público,-0.79
2020-01-01,IPCA % acum. ano,5101001.Ônibus urbano,0.78
2020-01-01,IPCA % acum. ano,5101002.Táxi,0.4
2020-01-01,IPCA % acum. ano,5101004.Trem,1.31
2020-01-01,IPCA % acum. ano,5101006.Ônibus intermunicipal,1.18
2020-01-01,IPCA % acum. ano,5101007.Ônibus interestadual,0.33
2020-01-01,IPCA % acum. ano,5101010.Passagem aérea,-6.75
2020-01-01,IPCA % acum. ano,5101011.Metrô,1.74
2020-01-01,IPCA % acum. ano,5101026.Transporte escolar,1.37
2020-01-01,IPCA % acum. ano,5101051.Transporte por aplicativo,-0.54
2020-01-01,IPCA % acum. ano,5101053.Integração transporte público,2.03
2020-01-01,IPCA % acum. ano,5102.Veículo próprio,0.24
2020-01-01,IPCA % acum. ano,5102001.Automóvel novo,0.58
2020-01-01,IPCA % acum. ano,5102004.Emplacamento e licença,0.3
2020-01-01,IPCA % acum. ano,5102005.Seguro voluntário de veículo,0.53
2020-01-01,IPCA % acum. ano,5102006.Multa,0.0
2020-01-01,IPCA % acum. ano,5102007.Óleo lubrificante,0.6
2020-01-01,IPCA % acum. ano,5102009.Acessórios e peças,-0.12
2020-01-01,IPCA % acum. ano,5102010.Pneu,0.73
2020-01-01,IPCA % acum. ano,5102011.Conserto de automóvel,0.05
2020-01-01,IPCA % acum. ano,5102013.Estacionamento,-1.03
2020-01-01,IPCA % acum. ano,5102015.Pedágio,0.1
2020-01-01,IPCA % acum. ano,5102020.Automóvel usado,-0.46
2020-01-01,IPCA % acum. ano,5102037.Pintura de veículo,0.23
2020-01-01,IPCA % acum. ano,5102051.Aluguel de veículo,-1.16
2020-01-01,IPCA % acum. ano,5102053.Motocicleta,0.79
2020-01-01,IPCA % acum. ano,5104.Combustíveis (veículos),1.08
2020-01-01,IPCA % acum. ano,5104001.Gasolina,0.89
2020-01-01,IPCA % acum. ano,5104002.Etanol,2.59
2020-01-01,IPCA % acum. ano,5104003.Óleo diesel,1.34
2020-01-01,IPCA % acum. ano,5104005.Gás veicular,0.26
2020-01-01,IPCA % acum. ano,6.Saúde e cuidados pessoais,-0.32
2020-01-01,IPCA % acum. ano,61.Produtos farmacêuticos e óticos,0.25
2020-01-01,IPCA % acum. ano,6101.Produtos farmacêuticos,0.33
2020-01-01,IPCA % acum. ano,6101001.Anti-infeccioso e antibiótico,0.48
2020-01-01,IPCA % acum. ano,6101002.Analgésico e antitérmico,-0.03
2020-01-01,IPCA % acum. ano,6101003.Anti-inflamatório e antirreumático,-0.29
2020-01-01,IPCA % acum. ano,6101004.Antigripal e antitussígeno,0.32
2020-01-01,IPCA % acum. ano,6101006.Dermatológico,0.61
2020-01-01,IPCA % acum. ano,6101007.Antialérgico e broncodilatador,0.2
2020-01-01,IPCA % acum. ano,6101009.Gastroprotetor,0.58
2020-01-01,IPCA % acum. ano,6101010.Vitamina e fortificante,1.31
2020-01-01,IPCA % acum. ano,6101011.Hormonal,0.15
2020-01-01,IPCA % acum. ano,6101013.Psicotrópico e anorexígeno,0.28
2020-01-01,IPCA % acum. ano,6101014.Hipotensor e hipocolesterolêmico,0.47
2020-01-01,IPCA % acum. ano,6101051.Oftalmológico,0.43
2020-01-01,IPCA % acum. ano,6101064.Antidiabético,0.58
2020-01-01,IPCA % acum. ano,6101148.Neurológico,-0.22
2020-01-01,IPCA % acum. ano,6102.Produtos óticos,-0.73
2020-01-01,IPCA % acum. ano,6102012.Óculos de grau,-0.73
2020-01-01,IPCA % acum. ano,62.Serviços de saúde,0.5
2020-01-01,IPCA % acum. ano,6201.Serviços médicos e dentários,0.22
2020-01-01,IPCA % acum. ano,6201002.Médico,-0.31
2020-01-01,IPCA % acum. ano,6201003.Dentista,0.78
2020-01-01,IPCA % acum. ano,6201005.Aparelho ortodôntico,0.72
